snapshot,Haushalt,Gewerbe
price,30,20
2011-06-21 00:00:00,35.005542,44.4305275
2011-06-21 00:15:00,31.192654,42.8770125
2011-06-21 00:30:00,27.907082,41.1992175
2011-06-21 00:45:00,25.311076,39.45928
2011-06-21 01:00:00,23.52632,37.843625
2011-06-21 01:15:00,22.431128,36.41439
2011-06-21 01:30:00,21.741564,35.17158
2011-06-21 01:45:00,21.254814,34.23947
2011-06-21 02:00:00,20.808624,33.680205
2011-06-21 02:15:00,20.402998,33.3695025
2011-06-21 02:30:00,19.95681,33.18308
2011-06-21 02:45:00,19.591746,33.12094
2011-06-21 03:00:00,19.267244,32.9966575
2011-06-21 03:15:00,19.023868,33.0588
2011-06-21 03:30:00,18.861618,33.618065
2011-06-21 03:45:00,18.902182,34.860875
2011-06-21 04:00:00,19.104994,36.911515
2011-06-21 04:15:00,19.470058,39.335
2011-06-21 04:30:00,19.997372,41.7584825
2011-06-21 04:45:00,20.605812,43.56056
2011-06-21 05:00:00,21.3765,44.3683875
2011-06-21 05:15:00,22.552816,44.49267
2011-06-21 05:30:00,24.540386,44.2441075
2011-06-21 05:45:00,27.663706,44.119825
2011-06-21 06:00:00,32.125596,44.4305275
2011-06-21 06:15:00,37.31761,45.4247775
2011-06-21 06:30:00,42.469064,47.164715
2011-06-21 06:45:00,46.930952,49.9610425
2011-06-21 07:00:00,50.094836,53.81376
2011-06-21 07:15:00,52.16353,59.09571
2011-06-21 07:30:00,53.542658,66.0554575
2011-06-21 07:45:00,54.678412,74.8794225
2011-06-21 08:00:00,55.89529,85.629745
2011-06-21 08:15:00,57.071606,97.1257575
2011-06-21 08:30:00,58.085672,107.7517975
2011-06-21 08:45:00,58.734674,116.14078
2011-06-21 09:00:00,58.937488,121.1741675
2011-06-21 09:15:00,58.775236,123.47337
2011-06-21 09:30:00,58.329048,124.1569175
2011-06-21 09:45:00,57.720608,124.2811975
2011-06-21 10:00:00,57.11217,124.6540425
2011-06-21 10:15:00,56.584856,125.46187
2011-06-21 10:30:00,56.179228,126.51826
2011-06-21 10:45:00,56.05754,127.7610725
2011-06-21 11:00:00,56.219792,129.0038825
2011-06-21 11:15:00,56.82823,129.9359925
2011-06-21 11:30:00,57.842296,130.246695
2011-06-21 11:45:00,59.424238,129.5010075
2011-06-21 12:00:00,61.45237,127.4503675
2011-06-21 12:15:00,63.561626,124.2811975
2011-06-21 12:30:00,65.18413,120.42848
2011-06-21 12:45:00,65.833132,116.14078
2011-06-21 13:00:00,65.103006,111.7909375
2011-06-21 13:15:00,63.31825,107.7517975
2011-06-21 13:30:00,60.925056,104.4583475
2011-06-21 13:45:00,58.410172,102.159145
2011-06-21 14:00:00,56.138666,101.2891775
2011-06-21 14:15:00,54.19166,101.59988
2011-06-21 14:30:00,52.48803,102.78055
2011-06-21 14:45:00,50.987214,104.5204875
2011-06-21 15:00:00,49.648648,106.5711275
2011-06-21 15:15:00,48.512894,108.497485
2011-06-21 15:30:00,47.620516,110.1131425
2011-06-21 15:45:00,46.930952,110.92097
2011-06-21 16:00:00,46.484762,110.7345475
2011-06-21 16:15:00,46.322512,109.86458
2011-06-21 16:30:00,46.484762,108.80819
2011-06-21 16:45:00,46.930952,108.00036
2011-06-21 17:00:00,47.701642,107.6275175
2011-06-21 17:15:00,48.796832,107.1303925
2011-06-21 17:30:00,50.257086,105.7633
2011-06-21 17:45:00,52.001278,102.78055
2011-06-21 18:00:00,54.02941,97.62288
2011-06-21 18:15:00,56.34148,90.787415
2011-06-21 18:30:00,58.856362,83.1441225
2011-06-21 18:45:00,61.45237,75.5008275
2011-06-21 19:00:00,64.048378,68.4168
2011-06-21 19:15:00,66.441572,62.4513025
2011-06-21 19:30:00,68.26689,57.9150375
2011-06-21 19:45:00,69.19983,55.1808525
2011-06-21 20:00:00,69.118704,54.3108825
2011-06-21 20:15:00,68.26689,54.7458675
2011-06-21 20:30:00,67.050012,55.6779775
2011-06-21 20:45:00,65.833132,56.2993825
2011-06-21 21:00:00,64.940754,56.05082
2011-06-21 21:15:00,64.25119,54.99443
2011-06-21 21:30:00,63.602188,53.6273375
2011-06-21 21:45:00,62.790936,52.260245
2011-06-21 22:00:00,61.61462,51.2038525
2011-06-21 22:15:00,59.992116,50.4581675
2011-06-21 22:30:00,57.801734,49.8989
2011-06-21 22:45:00,55.043476,49.339635
2011-06-21 23:00:00,51.595652,48.71823
2011-06-21 23:15:00,47.661078,47.9725425
2011-06-21 23:30:00,43.442566,47.0404325
2011-06-21 23:45:00,39.142928,45.8597625
